system   I             system.c:245  al_install_system                [   0.00096] Allegro version: 5.1.12 (WIP)
display  D   display_settings.c:202  debug_display_settings           [   0.08817] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08819] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08821] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08824] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08825] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08828] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08829] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08832] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08833] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08835] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08837] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08839] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08842] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08844] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08846] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08848] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08850] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08852] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08853] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08855] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08856] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08858] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08859] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08861] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08863] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08864] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08866] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08868] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08870] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08872] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08873] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08876] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08877] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08880] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08881] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08884] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08885] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08887] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08888] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08890] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08892] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08894] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08895] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08897] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08899] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08901] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08902] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08905] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08906] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08908] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08910] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08912] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08914] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08916] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08917] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08920] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08922] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08924] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08926] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08928] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08930] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08932] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08934] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08936] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08938] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08940] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08945] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08947] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08949] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08951] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08952] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08955] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08956] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08958] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08960] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08962] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08964] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08966] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08968] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08970] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1670 d3d_create_display_internals     [   0.08976] Trying format 0.
d3d      I         d3d_disp.cpp:1346 d3d_display_thread_proc          [   0.09221] Chose a display format: 23
d3d      I         d3d_disp.cpp:1415 d3d_display_thread_proc          [   0.09225] Normal window.
d3d      I         d3d_disp.cpp:779  d3d_create_device                [   0.11024] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:837  d3d_create_device                [   0.15197] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:845  d3d_create_device                [   0.15200] Success
d3d      D         d3d_disp.cpp:1693 d3d_create_display_internals     [   0.15203] Resumed after wait.
d3d      I         d3d_disp.cpp:1726 d3d_create_display_internals     [   0.15207] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1757 d3d_create_display_internals     [   0.15212] Returning d3d_display: 058F9330
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.15213] al_display=058F9330
d3d      D         d3d_disp.cpp:1783 d3d_create_display_locked        [   0.15214] al_display->vt=03000418
system   D            wsystem.c:674  maybe_parent_dir                 [   0.15237] Also searching C:\Users\Administrador\Desktop\TrabajoPractico-PG-2-pt1\TrabajoPractico PG 2 pt1\bin\
system   D            wsystem.c:724  _al_win_safe_load_library        [   0.15254] PathFindOnPath found: C:\WINDOWS\system32\d3dx9_43.dll
system   D            wsystem.c:635  load_library_at_path             [   0.15256] Calling LoadLibrary C:\WINDOWS\system32\d3dx9_43.dll
system   I            wsystem.c:638  load_library_at_path             [   0.15644] Loaded C:\WINDOWS\system32\d3dx9_43.dll
d3dx9    I        d3d_d3dx9.cpp:88   _imp_load_d3dx9_module_version   [   0.15650] Module "d3dx9_43.dll" loaded.
dtor     D               dtor.c:184  _al_register_destructor          [   0.15776] added dtor for object 02FE1D20, func 0F7E233D
dtor     D               dtor.c:184  _al_register_destructor          [   0.15781] added dtor for object 03052B70, func 0F7E172B
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15814] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15816] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15817] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15819] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15820] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15822] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15823] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15825] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15826] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.15827] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.15829] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.15831] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.15833] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.15874] added dtor for object 0C685DB8, func 0F7E21E9
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.15888] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.15890] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16056] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16060] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16061] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16063] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16064] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16066] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16067] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16069] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16070] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.16071] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.16072] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.16073] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.16074] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.16101] added dtor for object 0C6A90A8, func 0F7E21E9
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.16108] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.16111] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16224] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16227] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16228] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16230] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16231] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16232] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16234] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16235] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16236] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.16238] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.16239] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.16241] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.16242] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.16269] added dtor for object 0C6C46B8, func 0F7E21E9
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.16296] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.16298] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16443] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16446] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16448] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16449] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16451] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16452] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16454] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16455] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16456] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.16458] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.16459] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.16461] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.16463] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.16494] added dtor for object 0C6DE928, func 0F7E21E9
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.16501] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.16503] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16548] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16551] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16553] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16554] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16556] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16557] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16559] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16560] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16562] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.16563] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.16565] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.16566] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.16568] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.16588] added dtor for object 0C6E4918, func 0F7E21E9
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.16594] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.16596] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16633] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16635] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16637] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16639] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16640] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16642] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16643] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16644] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16646] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.16647] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.16649] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.16650] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.16652] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.16725] added dtor for object 0C617CF0, func 0F7E21E9
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.16884] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.16888] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.17848] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.17852] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.17854] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.17855] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.17857] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.17858] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.17860] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.17861] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.17863] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.17864] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.17867] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.17869] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.17870] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.18015] added dtor for object 0C6A8118, func 0F7E21E9
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.18167] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.18171] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.19390] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.19395] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.19396] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.19398] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.19400] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.19402] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.19404] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.19406] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.19407] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.19409] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.19411] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.19413] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.19414] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.19485] added dtor for object 0C6A8280, func 0F7E21E9
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.19491] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.19493] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.19570] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.19572] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.19574] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.19575] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.19576] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.19578] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.19579] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.19580] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.19582] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.19583] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.19585] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.19586] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.19588] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.19611] added dtor for object 0C6F72C8, func 0F7E21E9
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.19616] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.19618] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.19664] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.19667] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.19668] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.19670] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.19671] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.19673] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.19674] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.19676] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.19677] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.19679] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.19680] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.19682] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.19683] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.19708] added dtor for object 0C6A8AA8, func 0F7E21E9
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.19713] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.19715] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:184  _al_register_destructor          [   0.19763] added dtor for object 0C6789C0, func 0FB013E3
dtor     D               dtor.c:184  _al_register_destructor          [   0.19774] added dtor for object 0C678390, func 0FB013E3
wav      I                wav.c:107  wav_open                         [   0.19785] Ignoring chunk: LIST
dtor     D               dtor.c:184  _al_register_destructor          [   0.20943] added dtor for object 0C678420, func 0FB013E3
audio-dsound D           dsound.cpp:320  _dsound_allocate_voice           [   0.23103] Allocating voice
audio-dsound D           dsound.cpp:379  _dsound_allocate_voice           [   0.23108] Allocated voice
dtor     D               dtor.c:184  _al_register_destructor          [   0.23110] added dtor for object 0C684BE0, func 0FB01177
dtor     D               dtor.c:184  _al_register_destructor          [   0.23114] added dtor for object 0301E908, func 0FB011F4
audio-dsound D           dsound.cpp:476  _dsound_start_voice              [   0.23119] Starting voice
audio-dsound D           dsound.cpp:504  _dsound_start_voice              [   0.23120] CreateSoundBuffer
audio-dsound D           dsound.cpp:513  _dsound_start_voice              [   0.23290] CreateSoundBuffer succeeded
audio-dsound D           dsound.cpp:519  _dsound_start_voice              [   0.23296] Starting _dsound_update thread
audio-dsound I           dsound.cpp:529  _dsound_start_voice              [   0.23697] Voice started
dtor     D               dtor.c:184  _al_register_destructor          [   0.23705] added dtor for object 02FE64D8, func 0FB014B0
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.23710] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.23712] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.23713] 
